Date, Open, High, Low, Close
12/23/22, 3.534, 3.608, 3.533, 3.539
12/22/22, 3.499, 3.607, 3.466, 3.534
12/21/22, 3.509, 3.545, 3.470, 3.499
12/20/22, 3.453, 3.606, 3.453, 3.509
12/19/22, 3.305, 3.458, 3.305, 3.453
12/16/22, 3.217, 3.405, 3.145, 3.305
12/15/22, 3.290, 3.290, 3.155, 3.217
12/14/22, 3.342, 3.342, 3.260, 3.290
12/13/22, 3.286, 3.370, 3.236, 3.342
12/12/22, 3.248, 3.332, 3.157, 3.286
12/09/22, 3.175, 3.268, 3.164, 3.248
12/08/22, 3.117, 3.201, 3.091, 3.175
12/07/22, 3.162, 3.201, 3.110, 3.117
12/06/22, 3.208, 3.227, 3.097, 3.162
12/05/22, 3.228, 3.250, 3.141, 3.208
12/02/22, 3.168, 3.267, 3.057, 3.228
12/01/22, 3.190, 3.206, 3.083, 3.168
11/30/22, 3.145, 3.240, 3.140, 3.190
11/29/22, 3.208, 3.260, 3.120, 3.145
11/28/22, 3.196, 3.280, 3.132, 3.208
11/25/22, 3.116, 3.213, 3.116, 3.196
11/24/22, 3.075, 3.119, 2.966, 3.116
11/23/22, 3.089, 3.142, 3.036, 3.075
11/22/22, 3.150, 3.191, 3.084, 3.089
11/21/22, 3.146, 3.208, 3.106, 3.150
11/18/22, 3.083, 3.207, 3.083, 3.146
11/17/22, 3.000, 3.152, 2.946, 3.083
11/16/22, 3.107, 3.169, 2.969, 3.000
11/15/22, 3.155, 3.227, 3.093, 3.107
11/14/22, 3.153, 3.199, 3.065, 3.155
11/11/22, 3.101, 3.182, 3.086, 3.153
11/10/22, 3.240, 3.347, 3.044, 3.101
11/09/22, 3.283, 3.345, 3.177, 3.240
11/08/22, 3.271, 3.357, 3.220, 3.283
11/07/22, 3.107, 3.298, 3.061, 3.271
11/04/22, 3.140, 3.198, 3.067, 3.107
11/03/22, 3.080, 3.223, 3.027, 3.140
11/02/22, 3.213, 3.239, 3.070, 3.080
11/01/22, 3.348, 3.380, 3.211, 3.213
10/31/22, 3.281, 3.409, 3.281, 3.348
10/28/22, 3.153, 3.333, 3.153, 3.281
10/27/22, 3.358, 3.414, 3.063, 3.153
10/26/22, 3.422, 3.500, 3.314, 3.358
10/25/22, 3.490, 3.539, 3.334, 3.422
10/24/22, 3.766, 3.766, 3.410, 3.490
10/21/22, 3.630, 3.925, 3.630, 3.766
10/20/22, 3.542, 3.724, 3.373, 3.630
10/19/22, 3.599, 3.732, 3.499, 3.542
10/18/22, 3.647, 3.766, 3.513, 3.599
10/17/22, 4.088, 4.088, 3.546, 3.647
10/14/22, 3.969, 4.114, 3.582, 4.088
10/13/22, 4.153, 4.192, 3.791, 3.969
10/12/22, 4.383, 4.516, 4.130, 4.153
10/11/22, 4.489, 4.554, 4.344, 4.383
10/10/22, 4.301, 4.653, 4.286, 4.489
10/07/22, 4.255, 4.332, 4.238, 4.301
10/06/22, 4.160, 4.348, 4.148, 4.255
10/05/22, 4.053, 4.256, 4.053, 4.160
10/04/22, 4.180, 4.180, 3.862, 4.053
10/03/22, 4.367, 4.371, 4.052, 4.180
09/30/22, 4.429, 4.510, 4.198, 4.367
09/29/22, 4.315, 4.579, 4.315, 4.429
09/28/22, 4.694, 4.778, 4.080, 4.315
09/27/22, 4.581, 4.727, 4.248, 4.694
09/26/22, 3.991, 4.627, 3.991, 4.581
09/23/22, 3.484, 4.075, 3.426, 3.991
09/22/22, 3.309, 3.527, 3.276, 3.484
09/21/22, 3.230, 3.322, 3.166, 3.309
09/20/22, 3.041, 3.252, 3.041, 3.230
09/18/22, 3.041, 3.041, 3.041, 3.041
09/16/22, 3.030, 3.067, 2.996, 3.041
09/15/22, 2.998, 3.051, 2.940, 3.030
09/14/22, 3.044, 3.086, 2.967, 2.998
09/13/22, 2.931, 3.044, 2.879, 3.044
09/12/22, 2.940, 2.966, 2.887, 2.931
09/09/22, 2.965, 2.974, 2.836, 2.940
09/08/22, 2.876, 2.965, 2.803, 2.965
09/07/22, 3.024, 3.041, 2.812, 2.876
09/06/22, 2.977, 3.120, 2.913, 3.024
09/05/22, 2.885, 3.020, 2.885, 2.977
09/02/22, 2.858, 2.937, 2.830, 2.885
09/01/22, 2.815, 2.927, 2.815, 2.858
08/31/22, 2.719, 2.897, 2.713, 2.815
08/30/22, 2.622, 2.801, 2.622, 2.719
08/29/22, 2.622, 2.622, 2.622, 2.622
08/26/22, 2.599, 2.644, 2.529, 2.622
08/25/22, 2.744, 2.744, 2.589, 2.599
08/24/22, 2.520, 2.764, 2.520, 2.744
08/23/22, 2.379, 2.573, 2.323, 2.520
08/22/22, 2.262, 2.393, 2.228, 2.379
08/19/22, 2.200, 2.327, 2.200, 2.262
08/18/22, 2.145, 2.202, 2.123, 2.200
08/17/22, 1.928, 2.178, 1.928, 2.145
08/16/22, 1.816, 1.940, 1.816, 1.928
08/15/22, 1.885, 1.890, 1.800, 1.816
08/12/22, 1.843, 1.923, 1.843, 1.885
08/11/22, 1.779, 1.893, 1.762, 1.843
08/10/22, 1.770, 1.853, 1.727, 1.779
