"Date","Price","Open","High","Low","Change %"
"01/12/2022","3.227","3.227","3.227","3.227","-0.15%"
"30/11/2022","3.232","3.232","3.232","3.232","2.15%"
"29/11/2022","3.164","3.164","3.164","3.164","1.25%"
"28/11/2022","3.125","3.125","3.125","3.125","0.61%"
"25/11/2022","3.106","3.106","3.106","3.106","-0.51%"
"24/11/2022","3.122","3.122","3.122","3.122","1.00%"
"23/11/2022","3.091","3.091","3.091","3.091","0.19%"
"22/11/2022","3.085","3.085","3.085","3.085","0.00%"
"21/11/2022","3.085","3.085","3.085","3.085","2.97%"
"18/11/2022","2.996","2.996","2.996","2.996","-4.80%"
"17/11/2022","3.147","3.147","3.147","3.147","5.96%"
"16/11/2022","2.970","2.970","2.970","2.970","0.99%"
"15/11/2022","2.941","2.941","2.941","2.941","0.96%"
"14/11/2022","2.913","2.913","2.913","2.913","-2.90%"
"11/11/2022","3.000","3.000","3.000","3.000","1.73%"
"10/11/2022","2.949","2.949","2.949","2.949","3.80%"
"09/11/2022","2.841","2.874","2.874","2.841","1.28%"
"08/11/2022","2.805","2.838","2.838","2.805","-0.57%"
"07/11/2022","2.821","2.856","2.856","2.821","-0.77%"
"04/11/2022","2.843","2.843","2.843","2.843","0.25%"
"03/11/2022","2.836","2.827","2.836","2.798","2.38%"
"02/11/2022","2.770","2.804","2.804","2.770","1.58%"
"01/11/2022","2.727","2.752","2.756","2.727","1.07%"
"31/10/2022","2.698","2.702","2.702","2.698","-4.53%"
"28/10/2022","2.826","2.826","2.826","2.826","-0.91%"
"27/10/2022","2.852","2.852","2.852","2.852","0.96%"
"26/10/2022","2.825","2.825","2.825","2.825","-2.18%"
"25/10/2022","2.888","2.888","2.888","2.888","-0.10%"
"24/10/2022","2.891","2.891","2.891","2.891","-0.38%"
"21/10/2022","2.902","2.902","2.902","2.902","-2.42%"
"20/10/2022","2.974","2.974","2.974","2.974","-0.44%"
"19/10/2022","2.987","2.987","2.987","2.987","-0.67%"
"18/10/2022","3.007","3.007","3.007","3.007","4.96%"
"17/10/2022","2.865","2.865","2.865","2.865","-1.72%"
"14/10/2022","2.915","2.915","2.915","2.915","-3.09%"
"13/10/2022","3.008","3.008","3.008","3.008","-3.19%"
"12/10/2022","3.107","3.107","3.107","3.107","1.80%"
"11/10/2022","3.052","3.052","3.052","3.052","0.03%"
"10/10/2022","3.051","3.011","3.055","3.003","1.03%"
"07/10/2022","3.020","2.934","2.981","2.911","1.58%"
"06/10/2022","2.973","3.082","3.082","2.763","3.70%"
"05/10/2022","2.867","2.867","2.867","2.867","-1.31%"
"04/10/2022","2.905","2.905","2.905","2.905","-1.49%"
"03/10/2022","2.949","2.949","2.949","2.949","0.00%"
"30/09/2022","2.949","2.949","2.949","2.949","-6.05%"
"29/09/2022","3.139","3.139","3.139","3.139","-0.06%"
"28/09/2022","3.141","3.141","3.141","3.141","9.33%"
"27/09/2022","2.873","2.841","2.873","2.841","-5.12%"
"26/09/2022","3.028","2.539","3.028","2.539","19.35%"
"23/09/2022","2.537","2.456","2.537","2.456","0.83%"
"22/09/2022","2.516","2.491","2.516","2.491","0.28%"
"21/09/2022","2.509","2.509","2.509","2.509","-3.05%"
"20/09/2022","2.588","2.588","2.588","2.588","1.19%"
"19/09/2022","2.557","2.557","2.557","2.557","-0.99%"
"16/09/2022","2.583","2.532","2.583","2.460","1.97%"
"15/09/2022","2.533","2.504","2.533","2.504","-0.51%"
"14/09/2022","2.546","2.546","2.546","2.546","-1.28%"
"13/09/2022","2.579","2.579","2.579","2.579","6.92%"
"12/09/2022","2.412","2.381","2.412","2.381","0.12%"
"09/09/2022","2.409","2.426","2.426","2.409","-0.62%"
"08/09/2022","2.424","2.399","2.424","2.399","0.29%"
"07/09/2022","2.417","2.417","2.417","2.417","-0.62%"
"06/09/2022","2.432","2.432","2.432","2.432","0.29%"
"05/09/2022","2.425","2.425","2.425","2.425","0.12%"
"02/09/2022","2.422","2.422","2.422","2.422","2.02%"
"01/09/2022","2.374","2.365","2.374","2.365","0.25%"
"31/08/2022","2.368","2.368","2.368","2.368","15.51%"
"30/08/2022","2.050","2.304","2.329","2.050","2.96%"
"29/08/2022","1.991","2.037","2.037","1.991","-4.00%"
"26/08/2022","2.074","1.884","2.074","1.884","0.10%"
"25/08/2022","2.072","2.114","2.114","2.047","-2.03%"
"24/08/2022","2.115","2.115","2.115","2.115","0.57%"
"23/08/2022","2.103","2.103","2.103","2.103","2.41%"
"22/08/2022","2.053","1.995","2.053","1.995","1.26%"
"19/08/2022","2.028","1.952","2.028","1.952","4.43%"
"18/08/2022","1.942","1.938","1.942","1.938","0.26%"
"17/08/2022","1.937","1.937","1.937","1.937","2.65%"
"16/08/2022","1.887","1.887","1.887","1.887","0.80%"
"15/08/2022","1.872","1.872","1.872","1.872","-2.80%"
"12/08/2022","1.926","1.926","1.926","1.926","5.53%"
"11/08/2022","1.825","1.816","1.825","1.816","0.44%"
"10/08/2022","1.817","1.817","1.817","1.817","-0.66%"
"09/08/2022","1.829","1.829","1.829","1.829","0.27%"
"08/08/2022","1.824","1.824","1.824","1.824","0.66%"
"05/08/2022","1.812","1.812","1.812","1.812","0.95%"
"04/08/2022","1.795","1.795","1.795","1.795","-1.21%"
"03/08/2022","1.817","1.817","1.817","1.817","-2.63%"
"02/08/2022","1.866","1.866","1.866","1.866","4.54%"
"01/08/2022","1.785","1.785","1.785","1.785","0.39%"
"29/07/2022","1.778","1.778","1.778","1.778","-1.66%"
"28/07/2022","1.808","1.808","1.808","1.808","-2.27%"
"27/07/2022","1.850","1.850","1.850","1.850","-0.64%"
"26/07/2022","1.862","1.878","1.878","1.862","2.82%"
"25/07/2022","1.811","1.811","1.821","1.811","-0.06%"
"22/07/2022","1.812","1.770","1.812","1.770","1.63%"
"21/07/2022","1.783","1.783","1.783","1.783","0.45%"
"20/07/2022","1.775","1.775","1.775","1.775","-0.06%"
"19/07/2022","1.776","1.801","1.801","1.776","6.86%"
"18/07/2022","1.662","1.662","1.662","1.662","8.41%"
"15/07/2022","1.533","1.533","1.533","1.533","-1.29%"
"14/07/2022","1.553","1.553","1.553","1.553","4.79%"
"13/07/2022","1.482","1.474","1.482","1.474","0.61%"
"12/07/2022","1.473","1.473","1.473","1.473","6.28%"
"11/07/2022","1.386","1.386","1.386","1.386","6.62%"
"08/07/2022","1.300","1.300","1.300","1.300","-2.40%"
"07/07/2022","1.332","1.332","1.332","1.332","0.83%"
"06/07/2022","1.321","1.341","1.341","1.321","-1.34%"
"05/07/2022","1.339","1.392","1.392","1.339","10.94%"
"04/07/2022","1.207","1.207","1.207","1.207","3.61%"
"01/07/2022","1.165","1.165","1.165","1.165","-2.43%"
"30/06/2022","1.194","1.194","1.194","1.194","-2.61%"
"29/06/2022","1.226","1.238","1.238","1.226","-0.89%"
"28/06/2022","1.237","1.237","1.237","1.237","2.83%"
"27/06/2022","1.203","1.203","1.203","1.203","2.12%"
"24/06/2022","1.178","1.178","1.178","1.178","-1.67%"
"23/06/2022","1.198","1.198","1.198","1.198","-1.96%"
"22/06/2022","1.222","1.259","1.259","1.222","-2.78%"
"21/06/2022","1.257","1.257","1.257","1.257","1.95%"
"20/06/2022","1.233","1.233","1.233","1.233","1.31%"
"17/06/2022","1.217","1.217","1.217","1.217","-3.49%"
"16/06/2022","1.261","1.261","1.261","1.261","2.52%"
"15/06/2022","1.230","1.230","1.230","1.230","0.08%"
"14/06/2022","1.229","1.229","1.229","1.229","8.95%"
"13/06/2022","1.128","1.128","1.128","1.128","2.36%"
"10/06/2022","1.102","1.102","1.102","1.102","-2.22%"
"09/06/2022","1.127","1.127","1.127","1.127","0.36%"
"08/06/2022","1.123","1.123","1.123","1.123","-0.35%"
"07/06/2022","1.127","1.127","1.127","1.127","14.30%"
"06/06/2022","0.986","0.986","0.986","0.986","14.52%"
"03/06/2022","0.861","0.861","0.861","0.861","0.00%"
"02/06/2022","0.861","0.861","0.861","0.861","-5.38%"
"01/06/2022","0.910","0.910","0.910","0.910","-2.88%"
"31/05/2022","0.937","0.937","0.937","0.937","-0.43%"
"30/05/2022","0.941","0.941","0.941","0.941","-0.95%"
"27/05/2022","0.950","0.950","0.950","0.950","2.04%"
"26/05/2022","0.931","0.931","0.931","0.931","-4.02%"
"25/05/2022","0.970","0.970","0.970","0.970","-1.02%"
"24/05/2022","0.980","0.976","0.980","0.939","0.00%"
"23/05/2022","0.980","0.980","0.980","0.980","9.37%"
"20/05/2022","0.896","0.896","0.896","0.896","-4.58%"
"19/05/2022","0.939","0.939","0.939","0.939","0.21%"
"18/05/2022","0.937","0.937","0.937","0.937","-2.29%"
"17/05/2022","0.959","0.980","0.980","0.959","-3.03%"
"16/05/2022","0.989","0.989","0.989","0.989","0.10%"
"13/05/2022","0.988","0.807","0.988","0.807","8.57%"
"12/05/2022","0.910","0.910","0.910","0.910","0.22%"
"11/05/2022","0.908","1.020","1.020","0.908","-10.81%"
"10/05/2022","1.018","1.018","1.018","1.018","0.79%"
"09/05/2022","1.010","1.010","1.010","1.010","-2.42%"
"06/05/2022","1.035","1.035","1.035","1.035","0.00%"
"05/05/2022","1.035","1.048","1.048","1.035","-1.24%"
"04/05/2022","1.048","1.048","1.048","1.048","2.04%"
"03/05/2022","1.027","1.027","1.027","1.027","5.01%"
"02/05/2022","0.978","0.980","0.980","0.978","-0.20%"
"29/04/2022","0.980","0.980","0.980","0.980","-2.58%"
"28/04/2022","1.006","1.019","1.019","1.006","-1.37%"
"27/04/2022","1.020","1.020","1.020","1.020","-0.49%"
"26/04/2022","1.025","1.025","1.025","1.025","30.08%"
"25/04/2022","0.788","0.788","0.788","0.788","-0.25%"
"22/04/2022","0.790","0.790","0.790","0.790","9.27%"
"21/04/2022","0.723","0.706","0.723","0.706","1.69%"
"20/04/2022","0.711","0.711","0.711","0.711","-1.11%"
"19/04/2022","0.719","0.719","0.719","0.719","12.87%"
"18/04/2022","0.637","0.620","0.637","0.620","2.74%"
"15/04/2022","0.620","0.620","0.620","0.620","-8.96%"
"14/04/2022","0.681","0.681","0.681","0.681","-6.33%"
"13/04/2022","0.727","0.711","0.727","0.711","5.21%"
"12/04/2022","0.691","0.691","0.691","0.691","1.17%"
"11/04/2022","0.683","0.661","0.683","0.661","1.64%"
"08/04/2022","0.672","0.672","0.672","0.672","-2.04%"
"07/04/2022","0.686","0.681","0.686","0.681","-0.58%"
"06/04/2022","0.690","0.690","0.690","0.690","0.44%"
"05/04/2022","0.687","0.687","0.687","0.687","7.34%"
"04/04/2022","0.640","0.605","0.640","0.605","3.56%"
"01/04/2022","0.618","0.618","0.618","0.618","-2.83%"
"31/03/2022","0.636","0.636","0.636","0.636","-0.16%"
"30/03/2022","0.637","0.637","0.637","0.637","1.11%"
"29/03/2022","0.630","0.642","0.642","0.630","2.77%"
"28/03/2022","0.613","0.592","0.613","0.592","0.66%"
"25/03/2022","0.609","0.609","0.609","0.609","-4.84%"
"24/03/2022","0.640","0.636","0.640","0.636","-0.16%"
"23/03/2022","0.641","0.694","0.694","0.637","-8.30%"
"22/03/2022","0.699","0.687","0.699","0.687","40.93%"
"21/03/2022","0.496","0.500","0.640","0.496","-0.80%"
"18/03/2022","0.500","0.571","0.571","0.500","-15.82%"
"17/03/2022","0.594","0.594","0.594","0.594","-1.00%"
"16/03/2022","0.600","0.608","0.608","0.600","-2.12%"
"15/03/2022","0.613","0.560","0.613","0.560","-5.40%"
"14/03/2022","0.648","0.509","0.648","0.509","2.05%"
"11/03/2022","0.635","0.635","0.635","0.635","-0.78%"
"10/03/2022","0.640","0.640","0.640","0.640","36.75%"
"09/03/2022","0.468","0.468","0.468","0.468","-26.65%"
"08/03/2022","0.638","0.650","0.650","0.638","-3.48%"
"07/03/2022","0.661","0.661","0.661","0.661","2.80%"
"04/03/2022","0.643","0.643","0.643","0.643","-2.58%"
"03/03/2022","0.660","0.715","0.727","0.660","1.69%"
"02/03/2022","0.649","0.641","0.649","0.641","5.19%"
"01/03/2022","0.617","0.617","0.617","0.617","6.56%"
